onset	duration	story	prime
29.32	257.26	22	LOCATION
298.12	230.4	24	NO PRIME
560.99	202.19	13	SOCIAL
788.96	262.17	42	LOCATION
1062.9	196.7	44	NO PRIME
1302.91	283.95	33	SOCIAL
