onset	duration	story	prime
77.62	206.1	14	LOCATION
301.32	241.92	41	NO PRIME
594.23	175.0	43	LOCATION
813.6	260.83	32	SOCIAL
1092.53	209.87	12	NO PRIME
1357.73	215.29	21	SOCIAL
