onset	duration	story	prime
73.86	202.18	13	SOCIAL
383.96	230.26	24	LOCATION
673.04	257.06	22	LOCATION
984.67	196.83	44	LOCATION
1259.16	214.13	11	SOCIAL
1549.63	261.87	42	LOCATION
