onset	duration	story	prime
72.92	230.42	24	LOCATION
435.62	202.15	13	SOCIAL
668.73	257.29	22	NO PRIME
972.84	252.76	31	LOCATION
1270.82	262.0	42	SOCIAL
1551.34	283.89	33	NO PRIME
