onset	duration	story	prime
16.91	260.46	32	NO PRIME
387.28	188.2	34	LOCATION
634.7	241.72	41	SOCIAL
952.6	209.9	12	SOCIAL
1235.08	227.28	23	LOCATION
1478.32	215.0	21	NO PRIME
