onset	duration	story	prime
65.03	174.91	43	LOCATION
308.02	215.14	21	SOCIAL
535.0	241.57	41	NO PRIME
788.0	188.2	34	NO PRIME
1022.02	206.04	14	SOCIAL
1275.01	260.37	32	LOCATION
