onset	duration	story	prime
96.49	257.41	22	SOCIAL
432.67	197.08	44	LOCATION
642.57	262.15	42	NO PRIME
990.23	253.12	31	SOCIAL
1342.07	202.24	13	LOCATION
1558.12	214.44	11	NO PRIME
